dgp,eta,gamma,n,corr,std_ratio,mad_ann_pct,skew_mv,skew_cr,corner_mv,corner_cr,weight_corr,on_diagonal
Gaussian (GBM),1.0,1.0,200,0.9682283868154333,1.2170204182854112,9.731581339929669,0.6103882525568168,0.7740778686693703,0.4795,0.6635,0.9658286728926722,False
Gaussian (GBM),1.0,2.0,200,0.9998370571087669,1.0039254134270503,0.48683026498757276,0.6103882525568168,0.6191610520613552,0.4795,0.4755,0.9998167902504673,True
Gaussian (GBM),1.0,5.0,200,0.9299249973259077,0.6804059936781782,14.217144680711417,0.6103882525568168,0.3329766106743165,0.4795,0.2155,0.9238969224012407,False
Gaussian (GBM),1.0,10.0,200,0.8094452485686159,0.5375510158229193,21.948075663963788,0.6103882525568168,0.42394339171623496,0.4795,0.0905,0.807734758295975,False
Gaussian (GBM),1.0,20.0,200,0.6782764521322782,0.4812291318411625,26.41817405894556,0.6103882525568168,0.42501085905450536,0.4795,0.028,0.6687288454562675,False
Gaussian (GBM),2.0,1.0,200,0.8939596334556775,1.853762374656996,40.737225009606355,0.2393024119172349,0.8561724285824318,0.277,0.6635,0.8767046664202898,False
Gaussian (GBM),2.0,2.0,200,0.9588828470707953,1.4805659147778498,22.680020526538993,0.2393024119172349,0.7019291688508499,0.277,0.4755,0.9502147189377537,False
Gaussian (GBM),2.0,5.0,200,0.9950789584281767,0.872133036101889,6.375826713013557,0.2393024119172349,0.1816903501190064,0.277,0.2155,0.9940112611072763,False
Gaussian (GBM),2.0,10.0,200,0.9274135153286346,0.5568473158657237,22.350971377174172,0.2393024119172349,0.15036731674276885,0.277,0.0905,0.9168414257190396,False
Gaussian (GBM),2.0,20.0,200,0.7738481253347929,0.4122970452272795,31.566414635523067,0.2393024119172349,0.13047312859967974,0.277,0.028,0.789765484035465,False
Gaussian (GBM),5.0,1.0,200,0.8262529899200097,4.101683856297858,154.3209151479117,-0.049391757208922304,0.8755586757595911,0.0905,0.6635,0.7154035786163886,False
Gaussian (GBM),5.0,2.0,200,0.8934312577048116,3.2469450763953733,110.98382866093739,-0.049391757208922304,0.7297501983139271,0.0905,0.4755,0.8040722278264913,False
Gaussian (GBM),5.0,5.0,200,0.9759579774443329,1.818829531841771,41.08471797399916,-0.049391757208922304,0.1411297288116016,0.0905,0.2155,0.9444949334471727,False
Gaussian (GBM),5.0,10.0,200,0.9990611385668172,1.0124006288263907,1.9004361413526913,-0.049391757208922304,-0.009825658186252695,0.0905,0.0905,0.9994522009913749,True
