dgp,model,bias_mean,bias_median,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,r2_median,r2_pooled
"i.i.d. sigma, Student-t (nu=3)",MSE,-0.00015710384754327232,-0.00022604471571846378,0.023143116341328845,0.023186827274800897,0.020020584210169313,0.02004896553982291,-0.006757550986749761,-0.0064399844653401095,-0.006039889353176342
"i.i.d. sigma, Student-t (nu=3)",MAE,-0.0016421817818323369,-0.001654113751945849,0.023258131037059374,0.02322392768407077,0.020032234748887646,0.020051402006032018,-0.01680175346074727,-0.016225944672083048,-0.016074211501751146
"i.i.d. sigma, Student-t (nu=3)",Huber,-0.0008896807855287832,-0.0009200519105357454,0.023175579291572705,0.02319058619335117,0.02001034113227044,0.020030686476327133,-0.009590126883414618,-0.008908925277016477,-0.008865220120686912
"i.i.d. sigma, Student-t (nu=3)",Merton-structural,-0.00015743802206343808,-0.00020891949765753168,0.02313987089772886,0.02316914930959694,0.02001758229993774,0.020050232631337372,-0.0064741190358107385,-0.006617047931191999,-0.005759090521451737
"i.i.d. sigma, Student-t (nu=3)",SDF-weighted,0.0028602684017560915,0.002584805290345241,0.0234238949451325,0.023453493853347544,0.02028947104402571,0.020260042447088997,-0.03138586876746867,-0.027337072413632035,-0.03062025468851126
"i.i.d. sigma, Student-t (nu=3)",Merton (rolling vol),-0.0029132664618100107,-0.004621890040261818,0.09784012564444604,0.06683236669928698,0.05112946211002032,0.04607980355333546,-24.76015853204511,-7.478981894405788,-24.408130794714726
"i.i.d. sigma, Student-t (nu=3)",Merton (oracle sigma),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
"i.i.d. sigma, skew-normal",MSE,-0.0003008139478894034,-0.0004379661815933152,0.023109538581668095,0.02316288092336097,0.019974570144406782,0.01996947080870494,-0.0038395550193201177,-0.0018899142879696962,-0.0031267960930863037
"i.i.d. sigma, skew-normal",MAE,-0.0018008183611255425,-0.001716519484415117,0.023215099809960792,0.023258617595860853,0.019971562787778535,0.01996324937249857,-0.01304070683506241,-0.012948278807488944,-0.012319228807833982
"i.i.d. sigma, skew-normal",Huber,-0.0010327596964790939,-0.0010709880149999268,0.02314134352852861,0.02317547395811489,0.019963593334465502,0.019967306334536087,-0.006608577794986808,-0.005891348350348546,-0.005891383424488916
"i.i.d. sigma, skew-normal",Merton-structural,-0.00029074458220160144,-0.0004592264288801383,0.023113011371227614,0.02316954190397151,0.019975600939143523,0.01997732935815079,-0.004140485373548708,-0.003556081219948659,-0.0034299425477894996
"i.i.d. sigma, skew-normal",SDF-weighted,0.002601398649527178,0.002579806208689717,0.02330023047107021,0.02334250298512222,0.02018566727463997,0.020217982417100103,-0.020509876275015205,-0.01872383771514563,-0.01977878056052562
"i.i.d. sigma, skew-normal",Merton (rolling vol),-0.0011713603210275346,-0.001079876320964031,0.03767318306011736,0.03755641307307638,0.029848686512228866,0.02976691164999079,-1.6723262219788482,-1.6589103008462251,-1.6711178298065623
"i.i.d. sigma, skew-normal",Merton (oracle sigma),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
"GARCH(1,1)",MSE,-0.0017982347371639188,0.00021853841608217482,0.01480533440429202,0.008907579471333481,0.006804867565283141,0.005229467022809183,0.8601311892988855,0.9089999257139811,0.7371705455240269
"GARCH(1,1)",MAE,-0.0023107767784531787,-5.29291255144408e-05,0.015121765878701237,0.0091230966743653,0.0068839576872801855,0.005161983560715197,0.8544976220394915,0.9090598678190036,0.7217209516369263
"GARCH(1,1)",Huber,-0.002429864632741169,0.00013371602931498718,0.016443294372547306,0.009788077491807243,0.0073357942205981175,0.005454484281656723,0.8310412643552135,0.8985680938033873,0.6757301106150885
"GARCH(1,1)",Merton-structural,-0.0017850497181038053,0.0002510049909392071,0.014710782041831572,0.00876513818928875,0.006785128528654691,0.005201296874320792,0.8616051989116835,0.9089530476697103,0.7403658744657357
"GARCH(1,1)",SDF-weighted,-0.0026745545120444975,-0.0006626075438673373,0.014761541359979449,0.009052465050293324,0.006800601662812458,0.005263472512294738,0.8597002658466538,0.9065018507741984,0.7414277954658373
"GARCH(1,1)",Merton (rolling vol),-0.0005582738011537531,-0.0008759443198380077,0.011621034678369321,0.010013720232277134,0.007212522038225269,0.006750424056527926,0.8807833830309537,0.8860928975100144,0.9138432415751765
"GARCH(1,1)",Merton (oracle sigma),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
