kappa,model,bias_mean,bias_median,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,r2_median,r2_pooled,half_life_months
2.0,MAE,-0.005011416117585177,-0.0034650067185979096,0.039654049261859114,0.032889568713366235,0.02389172341490885,0.022233262199091806,0.7003636483977591,0.7403383220794232,0.6686654026661657,4.1588830833596715
2.0,Huber,-0.004680800458917916,-0.0038223605999190714,0.04263502105937269,0.03582490783480703,0.02533844935336221,0.02337498297560947,0.6578403447901525,0.7215152476004159,0.6146349026635941,4.1588830833596715
2.0,Merton-structural,0.00039908659901150527,0.0014218698857554998,0.037712555899951504,0.03112705016253094,0.023748707727551013,0.022122100912429714,0.7222691303785467,0.7433736747007748,0.7086206099673206,4.1588830833596715
2.0,SDF-weighted,0.0019472194140001124,0.0038144497008837834,0.03834001438148812,0.031677569394959956,0.02473887555174601,0.023204833040786018,0.7111046229684143,0.7287217038008518,0.701674565882926,4.1588830833596715
2.0,Merton (rolling vol),0.00021411205787833851,0.000634065116907204,0.038444114601132326,0.03577999275504701,0.025381295712661397,0.0242385727322999,0.6864428919827321,0.6739437931152348,0.734727077762223,4.1588830833596715
2.0,Merton (oracle sigma),-0.0006650071446078037,-0.0006573260879598882,0.001045490471291728,0.0010260488915606765,0.0006650071446078037,0.0006573260879598882,0.999763054459775,0.999776032905555,0.9998022071113933,4.1588830833596715
4.0,MSE,0.00031064584029183646,0.0005322110600466255,0.039894191992254635,0.037050990055895294,0.02540498162720289,0.02462059975981947,0.6986826212294976,0.7182936243480963,0.6793739353297201,2.0794415416798357
4.0,MAE,-0.005498921796510926,-0.004829686315650392,0.041622618757930205,0.03828446804465986,0.025123246947153764,0.024105010815260203,0.6745428515414712,0.6993381517560266,0.6476559699490723,2.0794415416798357
4.0,Huber,-0.004958407974359349,-0.004143195927227653,0.04428351917542446,0.04066068931607725,0.02642288386768313,0.02551766273276653,0.6326288113761989,0.6620759532513647,0.6021429708371153,2.0794415416798357
4.0,Merton-structural,0.0003077989700208463,0.00032768912140447874,0.03933963117519225,0.035963134053368,0.02497700774796296,0.024192497395920255,0.706468023598718,0.7249903234924191,0.6879305996337848,2.0794415416798357
4.0,SDF-weighted,0.002000991533146319,0.003506058339611884,0.03998303722923766,0.037185061896162795,0.026152338002548833,0.0254503749937378,0.6958480485795134,0.7202139556986333,0.6812197503971891,2.0794415416798357
4.0,Merton (rolling vol),0.00014661714255989613,0.00038140523982411394,0.03826966200863136,0.038141315903757855,0.025453378784610108,0.02514570112068342,0.7014502602051167,0.7053842305455587,0.7325724013728039,2.0794415416798357
4.0,Merton (oracle sigma),-0.0012753035095127764,-0.001221647809325559,0.0020175798348102533,0.0018690615636679907,0.0012753035095127764,0.001221647809325559,0.9991744525206026,0.9992119110775681,0.9992373176817199,2.0794415416798357
