dgp,clf_acc,r2,binding,gain,ci_lo,ci_hi,t,p_one,win,null_t,null_mean,nw_t,nw_p,n
Gaussian (GBM),0.9766666666666667,0.8142000188492664,0.25833333333333336,0.00022561600128813493,0.00019072186185508397,0.0002605101407211859,12.672826145295208,1.8237952727060164e-31,0.8075,0.5009873924668731,5.529431079676073e-20,4.647083925247875,1.6833011156908832e-06,400
Gaussian (arith.),0.9633333333333334,0.8547968611891426,0.2619444444444444,0.0002694218490174333,0.00023043234406449793,0.0003084113539703686,13.543819669205964,3.229256686723374e-33,0.8466666666666667,0.6006434761448931,8.81817766954877e-20,3.884044904690927,5.136646065186282e-05,300
One-factor,0.97,0.7834724860345487,0.4002777777777778,0.00039827938293973637,0.0003146851911958728,0.00048187357468359993,9.338299399481748,1.1609161066029777e-18,0.7,1.866354546669865,2.6093132284484474e-19,3.315158872032414,0.000457955269736914,300
Student-t (nu=5),0.9666666666666667,0.8012690938513878,0.25277777777777777,0.00016950610709298413,0.00013803322869502147,0.00020097898549094678,10.556135530449458,1.1893760776969738e-22,0.7433333333333333,-0.2252471747386148,-3.035766082959413e-20,1.08102504509747,0.13984298653556326,300
Student-t (nu=3),0.97,0.8397826665445651,0.26305555555555554,0.0002808448420969334,0.00023444739475074423,0.00032724228944312257,11.863926185482288,3.632764280338115e-27,0.8333333333333334,-0.5529598319578227,-9.468698973040072e-20,4.078823975213313,2.2632045874626898e-05,300
Skew-normal,0.9688888888888889,0.8237407174582091,0.2588888888888889,0.00025687186465907534,0.00022398096004741912,0.0002897627692707316,15.307236473920605,9.304114787567208e-40,0.8533333333333334,1.616853424238847,2.0310720697895116e-19,4.993360885732467,2.9668765467399667e-07,300
Jump mixture,0.9622222222222222,0.8559261505003031,0.2577777777777778,0.00021663940500171784,0.00018341964836214196,0.00024985916164129373,12.781948959177805,1.9131421045933742e-30,0.8033333333333333,-0.05114997177701762,-7.589415207398532e-21,4.821877654994842,7.110658283083446e-07,300
