,eta,gamma,n,corr,std_ratio,mad_ann_pct,skew_mv,skew_cr,corner_mv,corner_cr,weight_corr,on_diagonal
0,1.0,1.0,200,0.9682283868154333,1.2170204182854112,9.731581339929669,0.6103882525568168,0.7740778686693703,0.4795,0.6635,0.9658286728926722,False
1,1.0,2.0,200,0.9998370571087669,1.0039254134270503,0.48683026498757276,0.6103882525568168,0.6191610520613552,0.4795,0.4755,0.9998167902504673,True
2,1.0,5.0,200,0.9299249973259077,0.6804059936781782,14.217144680711417,0.6103882525568168,0.3329766106743165,0.4795,0.2155,0.9238969224012407,False
3,1.0,10.0,200,0.8094452485686159,0.5375510158229193,21.948075663963788,0.6103882525568168,0.42394339171623496,0.4795,0.0905,0.807734758295975,False
4,1.0,20.0,200,0.6782764521322782,0.4812291318411625,26.41817405894556,0.6103882525568168,0.42501085905450536,0.4795,0.028,0.6687288454562675,False
5,2.0,1.0,200,0.8939596334556775,1.853762374656996,40.737225009606355,0.2393024119172349,0.8561724285824318,0.277,0.6635,0.8767046664202898,False
6,2.0,2.0,200,0.9588828470707953,1.4805659147778498,22.680020526538993,0.2393024119172349,0.7019291688508499,0.277,0.4755,0.9502147189377537,False
7,2.0,5.0,200,0.9950789584281767,0.872133036101889,6.375826713013557,0.2393024119172349,0.1816903501190064,0.277,0.2155,0.9940112611072763,False
8,2.0,10.0,200,0.9274135153286346,0.5568473158657237,22.350971377174172,0.2393024119172349,0.15036731674276885,0.277,0.0905,0.9168414257190396,False
9,2.0,20.0,200,0.7738481253347929,0.4122970452272795,31.566414635523067,0.2393024119172349,0.13047312859967974,0.277,0.028,0.789765484035465,False
10,5.0,1.0,200,0.8262529899200097,4.101683856297858,154.3209151479117,-0.049391757208922304,0.8755586757595911,0.0905,0.6635,0.7154035786163886,False
11,5.0,2.0,200,0.8934312577048116,3.2469450763953733,110.98382866093739,-0.049391757208922304,0.7297501983139271,0.0905,0.4755,0.8040722278264913,False
12,5.0,5.0,200,0.9759579774443329,1.818829531841771,41.08471797399916,-0.049391757208922304,0.1411297288116016,0.0905,0.2155,0.9444949334471727,False
13,5.0,10.0,200,0.9990611385668172,1.0124006288263907,1.9004361413526913,-0.049391757208922304,-0.009825658186252695,0.0905,0.0905,0.9994522009913749,True
14,5.0,20.0,200,0.9645747760483394,0.5725411860254896,23.104912657282274,-0.049391757208922304,-0.020065654844258502,0.0905,0.028,0.947499998745713,False
15,10.0,1.0,200,0.809616356199088,8.08756303301354,351.8462104229667,-0.06085047087602336,0.8773235456162223,0.0275,0.6635,0.5751600775741234,False
16,10.0,2.0,200,0.874873509667411,6.3968737587486695,266.2667812293809,-0.06085047087602336,0.7324888151716735,0.0275,0.4755,0.6643506302797075,False
17,10.0,5.0,200,0.9540873753982463,3.5654306374010356,128.03468187250576,-0.06085047087602336,0.14196087538815713,0.0275,0.2155,0.8250015703230564,False
18,10.0,10.0,200,0.9845949802803639,1.9435207520100686,48.022665805286486,-0.06085047087602336,-0.019820019728287494,0.0275,0.0905,0.9434458315566078,False
19,10.0,20.0,200,0.9984268836815673,1.0157521965372798,2.6455726518626426,-0.06085047087602336,-0.030233742085168394,0.0275,0.028,0.9993803425647385,True
20,20.0,1.0,200,0.8030694018115252,16.129464640322684,749.4175493416872,-0.06840675781535087,0.8752071464207828,0.005,0.6635,0.4230401088701523,False
21,20.0,2.0,200,0.8671905120377422,12.75669198998153,579.5345616150972,-0.06840675781535087,0.7296518654046462,0.005,0.4755,0.5079577992899852,False
22,20.0,5.0,200,0.9425202491887354,7.10793627968304,304.4179224013268,-0.06840675781535087,0.13865870795208407,0.005,0.2155,0.6729320884855077,False
23,20.0,10.0,200,0.9687150431209479,3.861331561582946,145.04333780717147,-0.06840675781535087,-0.02881127876851291,0.005,0.0905,0.8170270261985791,False
24,20.0,20.0,200,0.9857918292876544,1.9804340335677657,51.16118339146501,-0.06840675781535087,-0.043925122620346174,0.005,0.028,0.9418624524019781,False
