comparison,mean,se,t,p_two,p_one,ci_lo,ci_hi,win,n
two-stage: simple - log,0.00014083427085823818,3.6271588313194756e-05,3.8827709898495386,0.00012714271488929933,6.357135744464966e-05,6.974195776437646e-05,0.00021192658395209992,0.5833333333333334,300
surrogate: simple - log,9.948120985328275e-05,3.317145308473105e-05,2.9990006647937393,0.0029363257173997985,0.0014681628586998992,3.44651618072099e-05,0.0001644972578993556,0.5466666666666666,300
